dispositivo,nome_planta,data_inicio,data_fim
esp32_c3_supermini,Zamioculca,2024-01-01 00:00:00,2026-04-08 14:00:00
esp32_c3_supermini,Aloe Vera,2026-04-08 14:00:01,2099-12-31 23:59:59
